content,category
"Áo thun oversize nam nữ unisex, chất cotton 100% dày dặn mặc mát tay. Có 6 màu: trắng, đen, xám, xanh dương, hồng phấn, cam đất. Size XS-2XL. Giá chỉ 135k, mua 2 giảm thêm 10% nha!",product
"Quần short kaki nam nữ cạp chun thoải mái, vải kaki dày dặn không nhăn. 4 màu: be, đen, xanh rêu, nâu. Size S-XL, giá 185k. Mặc đi biển, đi chơi hay ở nhà đều hợp á!",product
"Set bộ đồ mặc nhà lửng tay, chất cotton mềm mịn siêu thoải mái. Có 5 màu pastel. Size M-XL, giá 220k cả set. Mặc ngủ hay ở nhà đều xinh nha chị em!",product
"Áo polo nam cổ bẻ basic, vải cotton pique thoáng mát. 4 màu: trắng, đen, navy, xanh nhạt. Size S-2XL, giá 210k. Mặc đi làm hay đi chơi đều lịch sự lắm!",product
"Váy midi dáng xòe vải linen nhẹ mát, phong cách vintage. 3 màu: trắng sữa, xanh lá, vàng bơ. Size S-L, giá 280k. Mặc mùa hè cực hợp, ra phố hay đi cafe đều đẹp!",product
"Shop hoàn tiền 100% nếu hàng bị lỗi từ nhà sản xuất khi nhận hàng. Chụp video lúc mở hộp để làm bằng chứng nhé! Liên hệ shop trong vòng 24h sau khi nhận hàng là được hỗ trợ ngay.",policy
"Ship COD toàn quốc, freeship cho đơn từ 399k. Đơn dưới 399k phí ship 25k-40k tùy khu vực. Đặt trước 2h chiều shop giao trong ngày, sau 2h giao ngày hôm sau.",policy
"Khách mua lần đầu được tặng voucher 30k cho đơn tiếp theo. Mua từ 3 lần được xếp hạng thành viên thân thiết, hưởng giảm giá 10% tất cả sản phẩm vĩnh viễn.",policy
"Shop có size nhỏ nhất là XS (dưới 44kg) và lớn nhất là 2XL (75-85kg). Nếu bạn vóc dáng đặc biệt (vai rộng, mông to) hãy nhắn số đo cụ thể để mình tư vấn size phù hợp nhé!",faq
"Hàng shop đều có sẵn, đặt trước 2h chiều là giao trong ngày luôn. Riêng màu hot (trắng, đen) có thể hết nhanh trong livestream nên ai thích thì chốt sớm đừng để tiếc nha!",faq
"Shop nhận thanh toán: COD (trả khi nhận), chuyển khoản ngân hàng, MoMo, ZaloPay, VNPay. Đặt hàng bằng cách bình luận SĐT + địa chỉ hoặc nhắn tin inbox cho shop là được!",faq
"Lấy sỉ từ 5 sản phẩm trở lên được giá ưu đãi. Từ 5-9 sản phẩm giảm 10%, từ 10-19 giảm 18%, từ 20 trở lên giảm 25%. Nhắn Zalo để được báo giá và hỗ trợ tư vấn thêm nha!",faq
